CLAVE ENTIDAD,ENTIDAD,CLAVE MUNICIPIO,MUNICIPIO,PRODUCTO_ID,CULTIVO,SUPERFICE COSECHADA (ha),VOLUMEN DE LA PRODUCCIÓN (ton),VALOR DE LA PRODUCCIÓN (pesos),VALOR PROD. / SUP. COSECHADA
14,Jalisco,77,San Martín Hidalgo,69400,Girasol,2,2,6912,3456
16,Michoacán,8,Aquila,56900,Cacahuate,2,2,40320,20160
12,Guerrero,8,Atenango del Río,61100,Chile seco,5,2,58098,12911
12,Guerrero,36,Igualapa,57000,Cacao,2,2,14000,7000
15,México,77,San Simón de Guerrero,57100,Café cereza,3,2,8385,3354
1,Aguascalientes,7,Rincón de Romos,65300,Durazno,1,2,7000,7000
8,Chihuahua,33,Huejotitán,79600,Nuez,5,2,94000,18800
13,Hidalgo,8,Apan,89800,Tomate verde,2,2,13600,6800
9,Distrito Federal,10,Álvaro Obregón,58400,Capulín,2,2,12648,6657
9,Distrito Federal,13,Xochimilco,61200,Chile verde,1,2,25532,25532
5,Coahuila,10,Frontera,57400,Calabacita,0,2,13838,55350
16,Michoacán,17,Contepec,82300,Pera,0,2,14781,59122
11,Guanajuato,24,Pueblo Nuevo,69000,Garbanzo grano,1,2,8043,8043
13,Hidalgo,12,Atotonilco El Grande,93100,Zarzamora,1,2,22050,22050
15,México,86,Temascaltepec,68400,Frijol,5,2,31920,7093
15,México,30,Chiconcuac,68400,Frijol,2,2,23805,11336
12,Guerrero,4,Alcozauca de Guerrero,70600,Guayaba,1,2,13200,17600
12,Guerrero,40,Leonardo Bravo,78300,Nanche,2,2,12003,6002
12,Guerrero,4,Alcozauca de Guerrero,73900,Limón,1,2,8672,17343
15,México,66,Otzoloapan,72200,Jamaica,3,2,94500,31500
15,México,114,Villa Victoria,79700,Nuez de castilla,1,2,112500,150000
14,Jalisco,8,Arandas,60200,Chabacano,1,2,22080,22080
14,Jalisco,59,Mazamitla,76900,Membrillo,2,2,36800,18400
7,Chiapas,111,Zinacantán,89300,Tejocote,1,2,8458,8458
17,Morelos,24,Tlaltizapán de Zapata,57700,Calabaza semilla o chihua,2,2,57564,28782
7,Chiapas,10,Bejucal de Ocampo,90500,Trigo grano,2,2,9629,4814
7,Chiapas,71,Villa Comaltitlán,76100,Marañón,5,2,11676,2335
12,Guerrero,18,Copala,88700,Tabaco,3,2,70180,28072
12,Guerrero,56,Tecoanapa,89700,Tomate rojo (jitomate),0,2,20889,174079
8,Chihuahua,45,Meoqui,83300,Pistache,6,2,210800,34000
12,Guerrero,1,Acapulco de Juárez,61100,Chile seco,4,3,41807,10452
12,Guerrero,29,Chilpancingo de Los Bravo,62200,Ciruela,1,3,8164,8164
15,México,9,Amecameca,59200,Cebada grano,1,3,9504,9504
15,México,88,Tenancingo,75800,Manzana,1,3,10600,21200
11,Guanajuato,31,San Francisco del Rincón,69400,Girasol,3,3,18225,6075
14,Jalisco,24,Cocula,60600,Chía,5,3,86400,19200
14,Jalisco,68,Villa Purificación,72200,Jamaica,6,3,60345,10718
15,México,114,Villa Victoria,65300,Durazno,1,3,14850,19800
15,México,9,Amecameca,68400,Frijol,3,3,32815,10938
14,Jalisco,52,Juchitlán,68400,Frijol,3,3,28770,8462
12,Guerrero,41,Malinaltepec,62200,Ciruela,3,3,10104,4041
12,Guerrero,55,Taxco de Alarcón,58200,Caña de azucar,0,3,2427,7139
8,Chihuahua,37,Juárez,83300,Pistache,7,3,266000,38000
10,Durango,12,Lerdo,65300,Durazno,4,3,33600,8400
13,Hidalgo,15,Cardonal,71000,Haba grano,4,3,25480,6370
15,México,32,Donato Guerra,59200,Cebada grano,4,3,12600,3150
12,Guerrero,28,Chilapa de Álvarez,50800,Ajonjolí,5,3,49415,9466
9,Distrito Federal,13,Xochimilco,58400,Capulín,3,3,19454,5807
10,Durango,6,General Simón Bolívar,79600,Nuez,14,3,144500,10321
12,Guerrero,57,Técpan de Galeana,56900,Cacahuate,4,3,48943,13984
13,Hidalgo,73,Tlanchinol,54300,Arvejón,7,3,41899,6446
14,Jalisco,6,Ameca,56900,Cacahuate,1,3,36039,25742
9,Distrito Federal,12,Tlalpan,58400,Capulín,3,3,19331,5603
14,Jalisco,108,Tuxpan,62200,Ciruela,3,3,17050,5683
14,Jalisco,121,Zapotiltic,62200,Ciruela,3,3,16110,5370
2,Baja California,3,Tecate,60200,Chabacano,1,3,33000,33000
3,Baja California Sur,3,La Paz,88100,Sorgo grano,1,3,9000,9000
8,Chihuahua,14,Coronado,68400,Frijol,2,3,24000,12000
10,Durango,12,Lerdo,68400,Frijol,15,3,30300,2020
10,Durango,30,San Pedro del Gallo,76900,Membrillo,3,3,22500,7500
12,Guerrero,2,Ahuacuotzingo,73900,Limón,1,3,14329,28659
12,Guerrero,37,Ixcateopan de Cuauhtémoc,56900,Cacahuate,2,3,45075,22538
14,Jalisco,54,El Limón,50600,Aguacate,2,3,48000,32000
14,Jalisco,54,El Limón,83500,Pitaya,1,3,37500,37500
17,Morelos,6,Cuautla,72200,Jamaica,10,3,127500,12750
12,Guerrero,5,Alpoyeca,88800,Tamarindo,1,3,9674,19348
16,Michoacán,98,Tuxpan,74400,Macadamia,1,3,27982,27982
15,México,11,Atenco,75800,Manzana,1,3,15021,30043
13,Hidalgo,42,Molango de Escamilla,70600,Guayaba,1,3,17160,17160
13,Hidalgo,79,Xochicoatlán,75800,Manzana,2,3,20605,13737
15,México,93,Tepetlaoxtoc,75800,Manzana,1,3,14360,28720
12,Guerrero,77,Marquelia,72200,Jamaica,8,3,60600,7575
16,Michoacán,59,Nuevo Urecho,88800,Tamarindo,1,3,25092,25092
5,Coahuila,2,Acuña,88100,Sorgo grano,2,3,9760,4880
15,México,99,Texcoco,93100,Zarzamora,3,3,45500,18200
10,Durango,17,Ocampo,76900,Membrillo,5,3,13325,2665
11,Guanajuato,4,Apaseo El Alto,93100,Zarzamora,1,3,35675,35675
13,Hidalgo,48,Pachuca de Soto,68400,Frijol,5,3,31135,6227
9,Distrito Federal,4,Cuajimalpa de Morelos,60200,Chabacano,2,3,22073,11617
6,Colima,3,Comala,83500,Pitaya,1,3,42375,42375
15,México,14,Atlacomulco,58100,Canola,1,3,22275,22275
16,Michoacán,89,Tepalcatepec,78300,Nanche,1,3,22367,22367
12,Guerrero,80,Juchitán,72200,Jamaica,9,3,63182,7020
9,Distrito Federal,8,La Magdalena Contreras,68100,Frambuesa,1,3,40862,40862
16,Michoacán,55,Múgica,72200,Jamaica,3,3,118650,39550
1,Aguascalientes,10,El Llano,79600,Nuez,2,3,98260,49130
12,Guerrero,4,Alcozauca de Guerrero,50600,Aguacate,1,3,25500,51000
12,Guerrero,57,Técpan de Galeana,54100,Arroz palay,4,3,21696,6199
9,Distrito Federal,10,Álvaro Obregón,71650,Hongos y setas,0,3,124651,2077525
5,Coahuila,10,Frontera,52700,Alpiste,3,4,17500,7000
5,Coahuila,13,Hidalgo,88100,Sorgo grano,3,4,10500,4200
10,Durango,16,Nombre de Dios,56900,Cacahuate,4,4,84000,24000
12,Guerrero,55,Taxco de Alarcón,61200,Chile verde,2,4,12600,8400
12,Guerrero,78,Cochoapa El Grande,75800,Manzana,2,4,15750,7875
13,Hidalgo,69,Tizayuca,91200,Tuna,1,4,12425,12425
15,México,51,Lerma,75800,Manzana,1,4,29750,29750
15,México,11,Atenco,62200,Ciruela,1,4,20592,41184
14,Jalisco,63,Ocotlán,60600,Chía,5,4,189925,37985
14,Jalisco,5,Amatitán,60600,Chía,7,4,196350,30208
9,Distrito Federal,8,La Magdalena Contreras,93100,Zarzamora,1,4,39689,39689
10,Durango,2,Canelas,90500,Trigo grano,1,4,14040,14040
12,Guerrero,42,Mártir de Cuilapan,50800,Ajonjolí,8,4,70423,8803
14,Jalisco,60,Mexticacán,79600,Nuez,3,4,176040,58680
14,Jalisco,58,Mascota,58700,Cártamo,4,4,21344,5336
10,Durango,19,Otáez,65300,Durazno,2,4,43660,21830
13,Hidalgo,36,San Agustín Metzquititlán,75800,Manzana,1,4,25900,25900
15,México,95,Tepotzotlán,69400,Girasol,2,4,24975,12488
7,Chiapas,15,Cacahoatán,71900,Hule hevea,4,4,68290,17073
9,Distrito Federal,8,La Magdalena Contreras,60200,Chabacano,2,4,25110,11679
9,Distrito Federal,11,Tláhuac,56400,Betabel,1,4,13125,26250
14,Jalisco,15,Autlán de Navarro,62200,Ciruela,2,4,12375,8250
9,Distrito Federal,4,Cuajimalpa de Morelos,58400,Capulín,4,4,23374,6317
13,Hidalgo,17,Chapantongo,65300,Durazno,4,4,36480,9120
13,Hidalgo,73,Tlanchinol,50600,Aguacate,1,4,61560,61560
17,Morelos,1,Amacuzac,56900,Cacahuate,2,4,32395,16198
15,México,69,Papalotla,68400,Frijol,4,4,40637,10159
13,Hidalgo,34,Lolotla,54300,Arvejón,8,4,49408,5882
15,México,17,Ayapango,68400,Frijol,4,4,46987,11747
15,México,123,Luvianos,68400,Frijol,6,4,41030,6838
9,Distrito Federal,8,La Magdalena Contreras,71700,Hortalizas,1,4,25350,25350
11,Guanajuato,26,Romita,69400,Girasol,3,4,26325,8775
12,Guerrero,11,Atoyac de Álvarez,72200,Jamaica,13,4,82413,6339
15,México,33,Ecatepec de Morelos,59200,Cebada grano,2,4,12549,6274
5,Coahuila,19,Morelos,68400,Frijol,5,4,51350,10270
14,Jalisco,82,Sayula,79700,Nuez de castilla,4,4,102564,25641
7,Chiapas,103,Tuzantán,68400,Frijol,4,4,39641,9438
12,Guerrero,61,Tixtla de Guerrero,73900,Limón,1,4,12469,12469
3,Baja California Sur,8,Los Cabos,74200,Litchi,1,4,118600,94880
5,Coahuila,36,Viesca,50700,Ajo,8,4,140000,17500
8,Chihuahua,41,Maguarichi,56900,Cacahuate,5,4,35800,7160
12,Guerrero,35,Iguala de La Independencia,70500,Guanábana,1,4,28800,28800
13,Hidalgo,24,Huasca de Ocampo,56900,Cacahuate,3,4,77600,24250
13,Hidalgo,30,Ixmiquilpan,79600,Nuez,8,4,128000,16000
13,Hidalgo,45,Omitlán de Juárez,71100,Haba verde,2,4,16080,8040
14,Jalisco,95,Teuchitlán,60600,Chía,5,4,100000,20000
14,Jalisco,102,Tonaya,56900,Cacahuate,5,4,88000,17600
15,México,43,Xalatlaco,99800,Semilla de haba grano,2,4,254000,127000
15,México,102,Timilpan,65300,Durazno,4,4,36000,9000
15,México,107,Tonatico,71100,Haba verde,1,4,16000,16000
8,Chihuahua,19,Chihuahua,84800,Rabanito,1,4,18446,36892
16,Michoacán,51,Marcos Castellanos,75800,Manzana,1,4,34080,68160
9,Distrito Federal,9,Milpa Alta,79700,Nuez de castilla,1,4,108650,108650
9,Distrito Federal,9,Milpa Alta,89300,Tejocote,1,4,38950,43278
13,Hidalgo,20,Eloxochitlán,54300,Arvejón,10,4,49200,4920
14,Jalisco,88,Tecolotlán,68400,Frijol,5,4,38950,7790
13,Hidalgo,20,Eloxochitlán,61200,Chile verde,5,4,26496,5760
15,México,99,Texcoco,90600,Semilla de trigo grano,3,4,34030,11343
12,Guerrero,28,Chilapa de Álvarez,67400,Flor perrito,1,4,26254,52508
12,Guerrero,60,Tetipac,78300,Nanche,1,4,21000,21000
14,Jalisco,68,Villa Purificación,79200,Nopalitos,2,4,13272,6636
14,Jalisco,95,Teuchitlán,60700,Chícharo,2,4,12600,6300
14,Jalisco,118,Yahualica de González Gallo,65300,Durazno,1,4,83370,83370
16,Michoacán,91,Tingüindín,73900,Limón,2,4,11470,5735
15,México,99,Texcoco,66000,Ejote,2,4,14770,9847
9,Distrito Federal,9,Milpa Alta,58400,Capulín,4,4,27707,6927
9,Distrito Federal,11,Tláhuac,79700,Nuez de castilla,1,4,109973,109973
10,Durango,35,Tepehuanes,82300,Pera,1,4,35690,35690
14,Jalisco,84,Talpa de Allende,60600,Chía,9,4,228280,25364
8,Chihuahua,21,Delicias,68400,Frijol,3,4,28405,8454
6,Colima,2,Colima,62200,Ciruela,2,4,37400,18700
15,México,120,Zumpango,58700,Cártamo,8,4,22440,2805
7,Chiapas,82,Sitalá,74400,Macadamia,3,4,137200,45733
8,Chihuahua,52,Ojinaga,65300,Durazno,2,5,81000,40500
13,Hidalgo,16,Cuautepec de Hinojosa,58100,Canola,3,5,29475,9825
14,Jalisco,83,Tala,72200,Jamaica,6,5,204750,34125
14,Jalisco,107,Tuxcueca,75600,Mango,1,5,15750,15750
15,México,40,Ixtapan de La Sal,70100,Granada,1,5,19125,19125
16,Michoacán,57,Nocupétaro,78300,Nanche,3,5,36000,12000
15,México,116,Zacazonapan,68400,Frijol,4,5,59150,16900
14,Jalisco,99,Tolimán,73900,Limón,2,5,19690,9845
10,Durango,37,Topia,75600,Mango,1,5,20835,20835
15,México,41,Ixtapan del Oro,73900,Limón,1,5,21150,21150
15,México,69,Papalotla,59200,Cebada grano,3,5,15002,6001
16,Michoacán,77,San Lucas,83500,Pitaya,2,5,63450,42300
7,Chiapas,37,Huehuetán,68400,Frijol,5,5,47263,9453
9,Distrito Federal,4,Cuajimalpa de Morelos,79700,Nuez de castilla,1,5,127085,101668
14,Jalisco,79,Gómez Farías,60600,Chía,7,5,217770,31110
7,Chiapas,102,Tuxtla Chico,71900,Hule hevea,6,5,89734,14956
13,Hidalgo,24,Huasca de Ocampo,57400,Calabacita,1,5,27360,27360
14,Jalisco,54,El Limón,68400,Frijol,6,5,91200,15200
16,Michoacán,77,San Lucas,62200,Ciruela,4,5,18240,4560
5,Coahuila,21,Nadadores,68400,Frijol,5,5,47795,9559
12,Guerrero,15,Buenavista de Cuéllar,78300,Nanche,2,5,18634,9317
7,Chiapas,23,Chamula,89300,Tejocote,2,5,17569,8785
7,Chiapas,71,Villa Comaltitlán,50800,Ajonjolí,7,5,78240,11506
14,Jalisco,101,Tonalá,68400,Frijol,5,5,49392,9878
14,Jalisco,88,Tecolotlán,56900,Cacahuate,5,5,88740,17065
13,Hidalgo,81,Zacualtipán de Ángeles,56900,Cacahuate,4,5,37050,9750
9,Distrito Federal,13,Xochimilco,89300,Tejocote,1,5,54203,49275
15,México,31,Chimalhuacán,68400,Frijol,5,5,58410,11682
13,Hidalgo,56,Santiago Tulantepec de Lugo Guerrero,68400,Frijol,15,5,48136,3320
1,Aguascalientes,4,Cosío,50000,Aceituna,1,5,47500,47500
3,Baja California Sur,3,La Paz,62200,Ciruela,2,5,15250,7625
7,Chiapas,89,Tapachula,99600,Mangostán,5,5,350000,70000
10,Durango,38,Vicente Guerrero,56900,Cacahuate,5,5,115000,23000
14,Jalisco,108,Tuxpan,73900,Limón,1,5,18057,36114
14,Jalisco,124,Zapotlanejo,68400,Frijol,7,5,50555,7222
15,México,112,Villa del Carbón,75800,Manzana,1,5,60500,60500
15,México,123,Luvianos,78500,Naranja,2,5,12625,8417
7,Chiapas,34,Frontera Comalapa,74200,Litchi,1,5,102000,102000
14,Jalisco,75,San Marcos,68400,Frijol,5,5,99450,19890
13,Hidalgo,81,Zacualtipán de Ángeles,54300,Arvejón,6,5,39216,6536
17,Morelos,1,Amacuzac,70600,Guayaba,1,5,31639,52731
10,Durango,23,Pueblo Nuevo,81000,Papa,2,5,44720,22360
12,Guerrero,59,Tepecoacuilco de Trujano,68400,Frijol,8,5,52180,6523
15,México,41,Ixtapan del Oro,65300,Durazno,1,5,32240,32240
15,México,66,Otzoloapan,56900,Cacahuate,4,5,65000,16250
9,Distrito Federal,8,La Magdalena Contreras,68400,Frijol,10,5,80847,8422
4,Campeche,1,Calkiní,50600,Aguacate,1,5,29758,29758
7,Chiapas,84,Solosuchiapa,57000,Cacao,19,5,220629,11612
16,Michoacán,2,Aguililla,68400,Frijol,12,5,43630,3636
1,Aguascalientes,5,Jesús María,75800,Manzana,2,5,21000,14000
13,Hidalgo,39,Mineral del Monte,65300,Durazno,2,5,42525,24300
11,Guanajuato,5,Apaseo El Grande,91200,Tuna,1,5,14937,14937
12,Guerrero,38,Zihuatanejo de Azueta,72200,Jamaica,25,5,127012,5080
15,México,67,Otzolotepec,62200,Ciruela,2,5,45050,22525
5,Coahuila,10,Frontera,87700,Sorgo escobero,2,5,14098,9399
16,Michoacán,80,Senguio,75800,Manzana,1,5,35337,70674
10,Durango,22,Poanas,60200,Chabacano,3,5,21600,7200
16,Michoacán,80,Senguio,82300,Pera,1,5,34155,68310
16,Michoacán,101,Tzitzio,68400,Frijol,9,5,54000,6000
17,Morelos,26,Tlayacapan,61200,Chile verde,1,5,30195,33550
3,Baja California Sur,3,La Paz,74200,Litchi,4,6,82500,23571
3,Baja California Sur,8,Los Cabos,66200,Eneldo,4,6,83485,20871
5,Coahuila,18,Monclova,90500,Trigo grano,2,6,19580,9790
9,Distrito Federal,11,Tláhuac,71650,Hongos y setas,0,6,192500,2406250
9,Distrito Federal,13,Xochimilco,63100,Col (repollo),1,6,28875,57750
12,Guerrero,28,Chilapa de Álvarez,75600,Mango,1,6,18988,18988
15,México,35,Huehuetoca,69400,Girasol,3,6,37463,12488
1,Aguascalientes,3,Calvillo,56900,Cacahuate,6,6,68070,11345
3,Baja California Sur,3,La Paz,80100,Orégano,3,6,72845,24282
10,Durango,27,San Juan de Guadalupe,79600,Nuez,8,6,336000,42000
12,Guerrero,49,Pilcaya,75600,Mango,1,6,18480,18480
15,México,52,Malinalco,75800,Manzana,1,6,22400,22400
15,México,113,Villa Guerrero,56900,Cacahuate,2,6,70000,35000
12,Guerrero,55,Taxco de Alarcón,78900,Níspero,2,6,11598,5799
14,Jalisco,6,Ameca,60600,Chía,12,6,310200,25850
9,Distrito Federal,4,Cuajimalpa de Morelos,68100,Frambuesa,2,6,68590,39194
13,Hidalgo,67,Tezontepec de Aldama,62000,Semilla de cilantro,3,6,54207,18069
14,Jalisco,103,Tonila,68400,Frijol,4,6,37050,9263
7,Chiapas,88,Sunuapa,68400,Frijol,14,6,70315,5209
3,Baja California Sur,8,Los Cabos,70600,Guayaba,2,6,37213,18606
13,Hidalgo,59,Tecozautla,92900,Zapote,1,6,16675,16675
15,México,32,Donato Guerra,82300,Pera,1,6,47500,47500
12,Guerrero,23,Cuajinicuilapa,72200,Jamaica,16,6,110790,6924
14,Jalisco,5,Amatitán,68400,Frijol,6,6,120782,20130
5,Coahuila,9,Francisco I. Madero,68400,Frijol,2,6,40600,20300
10,Durango,4,Cuencamé,65300,Durazno,1,6,41760,41760
14,Jalisco,115,Villa Guerrero,56900,Cacahuate,6,6,66930,11155
9,Distrito Federal,8,La Magdalena Contreras,71650,Hongos y setas,0,6,209508,2095076
14,Jalisco,66,Poncitlán,60600,Chía,8,6,321200,40150
9,Distrito Federal,11,Tláhuac,60200,Chabacano,3,6,44018,14673
12,Guerrero,74,Zitlala,87700,Sorgo escobero,15,6,32556,2170
15,México,54,Metepec,75000,Semilla de maíz grano,3,6,202075,67358
14,Jalisco,113,San Gabriel,73800,Lima,1,6,17139,23161
14,Jalisco,94,Tequila,57700,Calabaza semilla o chihua,4,6,256928,64232
8,Chihuahua,36,Jiménez,58700,Cártamo,6,6,20790,3465
16,Michoacán,99,Tuzantla,50800,Ajonjolí,7,6,104125,14875
12,Guerrero,65,Tlalixtaquilla de Maldonado,83400,Pitahaya,7,6,48276,7427
12,Guerrero,68,La Unión de Isidoro Montes de Oca,72200,Jamaica,28,6,146231,5223
2,Baja California,5,Playas de Rosarito,88900,Tangelo,2,6,18018,9009
7,Chiapas,34,Frontera Comalapa,50600,Aguacate,1,6,28195,28195
8,Chihuahua,2,Aldama,92700,Zanahoria,1,6,15000,30000
8,Chihuahua,19,Chihuahua,73300,Lechuga,1,6,18600,37200
8,Chihuahua,38,Julimes,74900,Maíz grano,2,6,22800,15200
9,Distrito Federal,9,Milpa Alta,60200,Chabacano,3,6,45300,15100
9,Distrito Federal,11,Tláhuac,84800,Rabanito,1,6,32100,32100
10,Durango,16,Nombre de Dios,75800,Manzana,1,6,36600,36600
11,Guanajuato,15,Guanajuato,61200,Chile verde,0,6,39000,487500
12,Guerrero,50,Pungarabato,62200,Ciruela,3,6,21050,7017
13,Hidalgo,19,Chilcuautla,90500,Trigo grano,1,6,21000,21000
13,Hidalgo,64,Tepetitlán,65300,Durazno,1,6,51600,51600
14,Jalisco,46,Jalostotitlán,91200,Tuna,1,6,24600,24600
14,Jalisco,54,El Limón,56900,Cacahuate,6,6,120000,20000
14,Jalisco,54,El Limón,72400,Jícama,1,6,12000,24000
14,Jalisco,99,Tolimán,88800,Tamarindo,2,6,39000,26000
15,México,74,San Felipe del Progreso,60700,Chícharo,1,6,45600,45600
16,Michoacán,22,Charo,68400,Frijol,10,6,72000,7200
8,Chihuahua,19,Chihuahua,92700,Zanahoria,1,6,23439,46878
5,Coahuila,34,Sierra Mojada,68400,Frijol,14,6,51170,3655
12,Guerrero,46,Ometepec,57100,Café cereza,5,6,30990,6198
15,México,105,Tlatlaya,78500,Naranja,4,6,17690,5054
7,Chiapas,34,Frontera Comalapa,75500,Mandarina,2,6,13340,6670
12,Guerrero,17,Cocula,50800,Ajonjolí,9,6,80294,8922
13,Hidalgo,73,Tlanchinol,61200,Chile verde,7,6,52020,7650
9,Distrito Federal,8,La Magdalena Contreras,71100,Haba verde,3,6,37761,12587
5,Coahuila,7,Cuatro Ciénegas,57600,Calabaza,1,6,27675,27675
16,Michoacán,59,Nuevo Urecho,78300,Nanche,2,6,40608,20304
8,Chihuahua,16,La Cruz,68400,Frijol,5,6,40495,8132
12,Guerrero,2,Ahuacuotzingo,50800,Ajonjolí,13,6,109419,8582
