CLAVE ENTIDAD,ENTIDAD,CLAVE MUNICIPIO,MUNICIPIO,PRODUCTO_ID,CULTIVO,SUPERFICE COSECHADA (ha),VOLUMEN DE LA PRODUCCIÓN (ton),VALOR DE LA PRODUCCIÓN (pesos),VALOR PROD. / SUP. COSECHADA
15,México,82,Tejupilco,73800,Lima,20,29,99750,4988
16,Michoacán,3,Álvaro Obregón,75000,Semilla de maíz grano,9,29,351042,41299
12,Guerrero,77,Marquelia,68400,Frijol,37,29,355636,9612
17,Morelos,8,Emiliano Zapata,78300,Nanche,6,29,109701,19946
14,Jalisco,14,Atoyac,73900,Limón,2,29,126610,63305
12,Guerrero,39,Juan R. Escudero,75400,Mamey,4,29,121603,34744
14,Jalisco,9,El Arenal,69400,Girasol,25,29,114690,4588
5,Coahuila,13,Hidalgo,87700,Sorgo escobero,18,29,67680,3760
8,Chihuahua,5,Ascensión,88300,Soya,9,29,239040,26560
12,Guerrero,15,Buenavista de Cuéllar,66000,Ejote,4,29,109728,27432
12,Guerrero,53,San Marcos,57000,Cacao,30,29,213750,7125
16,Michoacán,91,Tingüindín,74400,Macadamia,17,29,262990,15470
12,Guerrero,55,Taxco de Alarcón,83900,Plátano,4,29,92640,26469
3,Baja California Sur,2,Mulegé,64900,Dátil,15,29,1033200,71255
15,México,75,San Martín de Las Pirámides,57400,Calabacita,2,29,174000,87000
12,Guerrero,55,Taxco de Alarcón,73900,Limón,8,29,132377,16971
15,México,75,San Martín de Las Pirámides,59200,Cebada grano,18,29,104034,5780
17,Morelos,17,Puente de Ixtla,50600,Aguacate,3,29,393252,140447
13,Hidalgo,65,Tetepango,57400,Calabacita,4,29,96942,24235
9,Distrito Federal,11,Tláhuac,60900,Chilacayote,3,29,138938,46313
14,Jalisco,116,Villa Hidalgo,89800,Tomate verde,3,29,208030,69343
12,Guerrero,51,Quechultenango,58200,Caña de azucar,1,29,28968,28968
14,Jalisco,98,San Pedro Tlaquepaque,88100,Sorgo grano,7,29,94080,14474
15,México,8,Amatepec,65300,Durazno,7,29,67620,9660
15,México,80,Sultepec,75400,Mamey,3,29,150528,50176
12,Guerrero,2,Ahuacuotzingo,56900,Cacahuate,31,29,312411,10071
6,Colima,1,Armería,92900,Zapote,5,30,194250,38850
16,Michoacán,83,Tancítaro,68400,Frijol,22,30,267987,12181
14,Jalisco,58,Mascota,65400,Ebo (janamargo o veza),8,30,54183,6773
7,Chiapas,46,Jiquipilas,88800,Tamarindo,11,30,68310,6210
13,Hidalgo,21,Emiliano Zapata,58100,Canola,18,30,211464,11748
15,México,34,Ecatzingo,76900,Membrillo,5,30,95200,19040
16,Michoacán,86,Tanhuato,68400,Frijol,35,30,297787,8508
1,Aguascalientes,5,Jesús María,79600,Nuez,16,30,862570,53911
15,México,23,Coyotepec,68400,Frijol,40,30,380025,9501
1,Aguascalientes,8,San José de Gracia,68400,Frijol,22,30,197080,8958
15,México,113,Villa Guerrero,71100,Haba verde,6,30,140760,23460
13,Hidalgo,75,Tolcayuca,68400,Frijol,49,30,283090,5777
12,Guerrero,18,Copala,70500,Guanábana,5,30,90540,18108
3,Baja California Sur,3,La Paz,61700,Chives,13,30,447825,34448
5,Coahuila,17,Matamoros,57400,Calabacita,2,30,180000,90000
6,Colima,9,Tecomán,72100,Jaca (jackfruit),3,30,201000,67000
8,Chihuahua,14,Coronado,81900,Pastos y praderas en verde,2,30,9000,4500
8,Chihuahua,14,Coronado,88100,Sorgo grano,5,30,84000,16800
8,Chihuahua,32,Hidalgo del Parral,92700,Zanahoria,1,30,54000,54000
8,Chihuahua,45,Meoqui,89700,Tomate rojo (jitomate),1,30,240000,480000
8,Chihuahua,48,Namiquipa,61200,Chile verde,2,30,150000,75000
8,Chihuahua,67,Valle de Zaragoza,92700,Zanahoria,1,30,66000,66000
9,Distrito Federal,11,Tláhuac,63300,Coliflor,2,30,117810,49088
10,Durango,25,San Bernardo,68400,Frijol,355,30,270000,761
10,Durango,25,San Bernardo,79600,Nuez,25,30,1800000,72000
11,Guanajuato,1,Abasolo,57600,Calabaza,2,30,114000,57000
12,Guerrero,33,Huamuxtitlán,75500,Mandarina,2,30,60000,30000
12,Guerrero,37,Ixcateopan de Cuauhtémoc,81900,Pastos y praderas en verde,3,30,29310,9770
13,Hidalgo,55,Santiago de Anaya,61200,Chile verde,3,30,215405,71802
13,Hidalgo,84,Zimapán,70100,Granada,4,30,108000,27000
14,Jalisco,15,Autlán de Navarro,56500,Arándano,15,30,2400000,160000
14,Jalisco,20,Cabo Corrientes,70500,Guanábana,5,30,74775,14955
15,México,5,Almoloya de Juárez,58100,Canola,10,30,157500,15750
15,México,41,Ixtapan del Oro,89700,Tomate rojo (jitomate),3,30,240000,80000
16,Michoacán,10,Arteaga,50800,Ajonjolí,75,30,570000,7600
16,Michoacán,24,Cherán,82300,Pera,6,30,122024,20337
16,Michoacán,92,Tiquicheo de Nicolás Romero,68400,Frijol,25,30,345000,13800
12,Guerrero,63,Tlacoapa,68400,Frijol,50,30,408837,8177
17,Morelos,8,Emiliano Zapata,68400,Frijol,28,30,272615,9736
14,Jalisco,36,Etzatlán,68400,Frijol,30,30,588678,19623
17,Morelos,13,Jonacatepec,51100,Albahaca,4,30,127999,31219
5,Coahuila,3,Allende,51700,Alfalfa verde,1,30,23141,23141
7,Chiapas,1,Acacoyagua,50800,Ajonjolí,55,30,484000,8800
16,Michoacán,52,Lázaro Cárdenas,89800,Tomate verde,3,30,121000,48400
12,Guerrero,28,Chilapa de Álvarez,57100,Café cereza,54,30,245872,4553
5,Coahuila,27,Ramos Arizpe,65300,Durazno,6,30,220110,36685
14,Jalisco,82,Sayula,58700,Cártamo,10,30,106400,11200
15,México,15,Atlautla,62200,Ciruela,5,31,189100,37820
15,México,99,Texcoco,56400,Betabel,2,31,82289,41145
12,Guerrero,65,Tlalixtaquilla de Maldonado,68400,Frijol,49,31,362973,7408
10,Durango,9,Guanaceví,68400,Frijol,133,31,305900,2300
10,Durango,12,Lerdo,87700,Sorgo escobero,17,31,134977,7940
12,Guerrero,49,Pilcaya,70600,Guayaba,3,31,94920,37968
5,Coahuila,27,Ramos Arizpe,50700,Ajo,2,31,551160,275580
12,Guerrero,66,Tlapa de Comonfort,78500,Naranja,3,31,228776,67287
14,Jalisco,11,Atengo,70600,Guayaba,8,31,153500,19188
7,Chiapas,61,Ocozocoautla de Espinosa,75500,Mandarina,5,31,38438,7688
1,Aguascalientes,8,San José de Gracia,91200,Tuna,8,31,90240,11280
14,Jalisco,101,Tonalá,61900,Cilantro,3,31,337666,120595
15,México,17,Ayapango,53400,Amaranto,16,31,341596,22038
16,Michoacán,55,Múgica,56900,Cacahuate,9,31,324450,36050
17,Morelos,9,Huitzilac,75800,Manzana,3,31,203940,67980
7,Chiapas,103,Tuzantán,50600,Aguacate,5,31,115752,23150
10,Durango,19,Otáez,68400,Frijol,63,31,293100,4652
11,Guanajuato,42,Valle de Santiago,56900,Cacahuate,10,31,269700,26970
12,Guerrero,80,Juchitán,70500,Guanábana,5,31,84057,16811
15,México,119,Zumpahuacán,72400,Jícama,5,31,248400,49680
5,Coahuila,4,Arteaga,50700,Ajo,2,31,563091,281546
7,Chiapas,18,Coapilla,83900,Plátano,10,31,73264,7326
12,Guerrero,13,Azoyú,68400,Frijol,42,31,404867,9640
14,Jalisco,96,Tizapán El Alto,83500,Pitaya,4,31,62400,15600
16,Michoacán,100,Tzintzuntzan,71000,Haba grano,26,31,135480,5211
15,México,31,Chimalhuacán,79200,Nopalitos,2,31,25416,12708
7,Chiapas,98,Totolapa,50600,Aguacate,7,31,105213,15030
10,Durango,30,San Pedro del Gallo,68400,Frijol,98,31,293440,2994
7,Chiapas,1,Acacoyagua,88100,Sorgo grano,12,31,100608,8384
15,México,45,Jilotepec,90500,Trigo grano,17,31,119510,7030
12,Guerrero,59,Tepecoacuilco de Trujano,73900,Limón,7,32,142695,20385
14,Jalisco,30,Chapala,58700,Cártamo,15,32,129150,8610
15,México,10,Apaxco,91100,Triticale grano,21,32,94500,4500
15,México,29,Chicoloapan,84400,Poro,3,32,119700,39900
13,Hidalgo,66,Villa de Tezontepec,68400,Frijol,50,32,312160,6243
14,Jalisco,40,Hostotipaquillo,60600,Chía,62,32,1817100,29308
8,Chihuahua,55,Rosales,90500,Trigo grano,6,32,101016,16111
16,Michoacán,33,Gabriel Zamora,75400,Mamey,4,32,246253,61563
10,Durango,37,Topia,75800,Manzana,8,32,286200,34902
14,Jalisco,95,Teuchitlán,69050,Garbanzo porquero,15,32,46268,3085
14,Jalisco,120,Zapopan,63300,Coliflor,1,32,133560,102738
16,Michoacán,103,Venustiano Carranza,79200,Nopalitos,6,32,147220,24537
12,Guerrero,44,Mochitlán,62200,Ciruela,10,32,151943,15994
14,Jalisco,68,Villa Purificación,76000,Maracuyá,7,32,130585,18655
16,Michoacán,77,San Lucas,57700,Calabaza semilla o chihua,49,32,828100,16900
13,Hidalgo,35,Metepec,68400,Frijol,93,32,306874,3300
1,Aguascalientes,9,Tepezalá,56700,Brócoli,2,32,102400,51200
8,Chihuahua,13,Casas Grandes,88300,Soya,10,32,265600,26560
10,Durango,13,Mapimí,58700,Cártamo,80,32,160000,2000
11,Guanajuato,16,Huanímaro,60700,Chícharo,5,32,209600,41920
12,Guerrero,66,Tlapa de Comonfort,75600,Mango,4,32,78186,19546
12,Guerrero,71,Xochistlahuaca,72200,Jamaica,100,32,597613,5976
13,Hidalgo,8,Apan,60600,Chía,40,32,2432000,60800
14,Jalisco,50,Jocotepec,73800,Lima,2,32,113400,56700
15,México,9,Amecameca,60900,Chilacayote,2,32,137600,68800
15,México,25,Chalco,71100,Haba verde,5,32,113032,22606
15,México,68,Ozumba,82300,Pera,5,32,124800,24960
16,Michoacán,76,Sahuayo,79200,Nopalitos,6,32,149800,24967
8,Chihuahua,2,Aldama,50100,Acelga,4,32,96120,24030
7,Chiapas,79,San Fernando,73900,Limón,5,32,74151,14830
13,Hidalgo,36,San Agustín Metzquititlán,70100,Granada,6,32,237540,39590
13,Hidalgo,47,Pacula,68400,Frijol,73,32,413298,5662
12,Guerrero,69,Xalpatláhuac,68400,Frijol,44,32,424525,9648
12,Guerrero,55,Taxco de Alarcón,56900,Cacahuate,22,32,324282,15083
9,Distrito Federal,9,Milpa Alta,68400,Frijol,38,32,505474,13443
8,Chihuahua,46,Morelos,56900,Cacahuate,40,32,319140,7979
13,Hidalgo,58,Tasquillo,65300,Durazno,6,32,382080,63680
14,Jalisco,99,Tolimán,90000,Toronja (pomelo),3,32,158760,52920
15,México,81,Tecámac,69400,Girasol,14,32,217080,16080
16,Michoacán,45,Jiquilpan,60700,Chícharo,3,32,168480,56160
16,Michoacán,74,Cojumatlán de Régules,60700,Chícharo,3,32,194400,64800
17,Morelos,21,Tetecala,92900,Zapote,3,32,159808,53269
13,Hidalgo,43,Nicolás Flores,89800,Tomate verde,4,32,124631,31158
15,México,99,Texcoco,56700,Brócoli,3,33,145925,58370
16,Michoacán,29,Churumuco,68400,Frijol,25,33,331500,13260
12,Guerrero,1,Acapulco de Juárez,78500,Naranja,3,33,135637,45212
14,Jalisco,113,San Gabriel,56500,Arándano,6,33,1913204,318867
15,México,29,Chicoloapan,79200,Nopalitos,2,33,26276,13138
15,México,68,Ozumba,75800,Manzana,5,33,164043,32809
12,Guerrero,19,Copalillo,50800,Ajonjolí,68,33,440640,6480
12,Guerrero,39,Juan R. Escudero,70500,Guanábana,6,33,114241,19040
7,Chiapas,37,Huehuetán,50800,Ajonjolí,42,33,524160,12480
11,Guanajuato,34,Santa Catarina,68400,Frijol,200,33,238182,1191
16,Michoacán,34,Hidalgo,75800,Manzana,4,33,173859,43465
16,Michoacán,46,Juárez,66100,Elote,4,33,83640,20910
16,Michoacán,51,Marcos Castellanos,93100,Zarzamora,4,33,729280,182320
17,Morelos,20,Tepoztlán,68400,Frijol,28,33,290978,10246
17,Morelos,30,Yecapixtla,61300,Chile verde morrón,7,33,280414,40059
12,Guerrero,14,Benito Juárez,78300,Nanche,8,33,169456,21182
4,Campeche,2,Campeche,61000,Chile habanero,6,33,363000,66000
6,Colima,6,Ixtlahuacán,88100,Sorgo grano,11,33,99000,9000
7,Chiapas,115,Maravilla Tenejapa,73900,Limón,3,33,92400,30800
11,Guanajuato,10,Coroneo,90500,Trigo grano,12,33,113300,9442
11,Guanajuato,15,Guanajuato,89300,Tejocote,11,33,264000,24000
12,Guerrero,10,Atlixtac,75800,Manzana,7,33,265147,37878
15,México,2,Acolman,66700,Espinaca,2,33,148500,74250
15,México,15,Atlautla,58400,Capulín,5,33,191400,38280
15,México,66,Otzoloapan,89800,Tomate verde,3,33,198000,66000
16,Michoacán,49,Madero,73800,Lima,10,33,102300,10230
16,Michoacán,103,Venustiano Carranza,93100,Zarzamora,4,33,757859,189465
15,México,33,Ecatepec de Morelos,57400,Calabacita,2,33,109695,54848
11,Guanajuato,40,Tierra Blanca,68400,Frijol,210,33,246950,1176
7,Chiapas,32,Escuintla,68400,Frijol,46,33,331134,7199
16,Michoacán,62,Pajacuarán,73900,Limón,6,33,80081,14507
5,Coahuila,7,Cuatro Ciénegas,87100,Sandía,1,33,190613,190613
15,México,68,Ozumba,71000,Haba grano,17,33,535373,31493
5,Coahuila,29,Sacramento,90500,Trigo grano,8,33,117362,14670
14,Jalisco,113,San Gabriel,68400,Frijol,14,33,398400,28457
17,Morelos,3,Axochiapan,78300,Nanche,4,33,119040,29760
7,Chiapas,36,La Grandeza,82300,Pera,18,33,237738,13585
14,Jalisco,97,Tlajomulco de Zúñiga,56900,Cacahuate,19,33,363710,19143
15,México,8,Amatepec,89800,Tomate verde,3,33,304360,101453
15,México,18,Calimaya,99700,Semilla de triticale grano,18,33,421245,23403
14,Jalisco,88,Tecolotlán,65300,Durazno,10,33,367400,36740
16,Michoacán,12,Buenavista,79050,Noni,12,33,180806,15067
15,México,66,Otzoloapan,62200,Ciruela,5,34,134000,26800
12,Guerrero,57,Técpan de Galeana,88800,Tamarindo,6,34,241388,40231
13,Hidalgo,20,Eloxochitlán,78500,Naranja,4,34,33600,8400
13,Hidalgo,33,Juárez Hidalgo,68400,Frijol,84,34,393120,4680
16,Michoacán,53,Morelia,71000,Haba grano,28,34,235200,8400
16,Michoacán,88,Tarímbaro,50100,Acelga,8,34,151200,18900
16,Michoacán,10,Arteaga,68400,Frijol,102,34,387090,3795
14,Jalisco,97,Tlajomulco de Zúñiga,53700,Apio,2,34,107840,53920
15,México,42,Ixtlahuaca,68400,Frijol,47,34,539680,11483
16,Michoacán,1,Acuitzio,75800,Manzana,8,34,135000,18000
17,Morelos,30,Yecapixtla,57100,Café cereza,25,34,138375,5535
15,México,103,Tlalmanalco,57400,Calabacita,2,34,121486,50619
14,Jalisco,12,Atenguillo,73900,Limón,4,34,178001,44500
7,Chiapas,99,La Trinitaria,78500,Naranja,8,34,88400,11050
8,Chihuahua,19,Chihuahua,82100,Pepino,2,34,255000,127500
9,Distrito Federal,8,La Magdalena Contreras,57400,Calabacita,6,34,239130,43478
10,Durango,28,San Juan del Río,65300,Durazno,17,34,244800,14400
13,Hidalgo,65,Tetepango,89800,Tomate verde,5,34,135082,27016
15,México,14,Atlacomulco,75000,Semilla de maíz grano,8,34,1105000,138125
15,México,50,Juchitepec,79700,Nuez de castilla,10,34,1043460,104346
15,México,114,Villa Victoria,68100,Frambuesa,4,34,782000,195500
16,Michoacán,100,Tzintzuntzan,68400,Frijol,20,34,326000,16300
15,México,29,Chicoloapan,91100,Triticale grano,13,34,108966,8382
9,Distrito Federal,9,Milpa Alta,65300,Durazno,8,34,272800,34974
15,México,33,Ecatepec de Morelos,74900,Maíz grano,12,34,118318,9860
8,Chihuahua,62,Saucillo,74900,Maíz grano,6,34,102600,17100
16,Michoacán,95,Tocumbo,74200,Litchi,19,34,615600,32400
17,Morelos,4,Ayala,56900,Cacahuate,18,34,280782,15599
14,Jalisco,83,Tala,69400,Girasol,29,34,190050,6553
7,Chiapas,75,Las Rosas,50600,Aguacate,9,34,223531,24837
17,Morelos,29,Yautepec,68400,Frijol,23,34,433252,18755
14,Jalisco,58,Mascota,89300,Tejocote,6,34,154575,25763
12,Guerrero,57,Técpan de Galeana,50800,Ajonjolí,47,34,560030,11916
3,Baja California Sur,8,Los Cabos,61900,Cilantro,4,34,581038,154943
16,Michoacán,33,Gabriel Zamora,88100,Sorgo grano,8,34,120400,15050
9,Distrito Federal,10,Álvaro Obregón,62200,Ciruela,12,34,244364,21249
12,Guerrero,49,Pilcaya,62200,Ciruela,6,35,141491,24395
12,Guerrero,2,Ahuacuotzingo,89700,Tomate rojo (jitomate),2,35,207839,102384
16,Michoacán,21,Charapan,65300,Durazno,11,35,250488,22772
11,Guanajuato,39,Tarimoro,61900,Cilantro,13,35,113360,8720
12,Guerrero,44,Mochitlán,75000,Semilla de maíz grano,12,35,621262,51772
9,Distrito Federal,13,Xochimilco,71500,Higo,7,35,228876,34678
8,Chihuahua,32,Hidalgo del Parral,87900,Sorgo forrajero en verde,1,35,15746,15746
6,Colima,9,Tecomán,58500,Carambolo,4,35,227500,65000
8,Chihuahua,2,Aldama,63100,Col (repollo),3,35,124500,49800
11,Guanajuato,37,Silao de La Victoria,69000,Garbanzo grano,10,35,143500,14350
12,Guerrero,49,Pilcaya,82100,Pepino,2,35,105000,52500
13,Hidalgo,26,Huazalingo,74200,Litchi,14,35,607700,43407
13,Hidalgo,38,Mineral del Chico,50600,Aguacate,7,35,528500,75500
15,México,110,Valle de Bravo,58200,Caña de azucar,1,35,73500,73500
16,Michoacán,22,Charo,90500,Trigo grano,7,35,108500,15500
16,Michoacán,40,Indaparapeo,68400,Frijol,70,35,420000,6000
16,Michoacán,52,Lázaro Cárdenas,57400,Calabacita,7,35,157500,22500
17,Morelos,1,Amacuzac,57400,Calabacita,3,35,188300,75320
13,Hidalgo,30,Ixmiquilpan,50700,Ajo,7,35,631800,97200
16,Michoacán,104,Villamar,61900,Cilantro,2,35,92241,40105
4,Campeche,8,Tenabo,82100,Pepino,3,35,93280,31093
15,México,9,Amecameca,92700,Zanahoria,2,35,116325,77550
12,Guerrero,3,Ajuchitlán del Progreso,68400,Frijol,45,35,459509,10211
15,México,17,Ayapango,57400,Calabacita,3,35,127368,50947
14,Jalisco,124,Zapotlanejo,53700,Apio,3,35,166380,55460
15,México,29,Chicoloapan,84900,Rábano,3,35,111510,37170
16,Michoacán,106,Yurécuaro,69000,Garbanzo grano,40,35,171720,4293
8,Chihuahua,19,Chihuahua,56400,Betabel,4,35,236555,59139
13,Hidalgo,65,Tetepango,61200,Chile verde,5,36,219466,43893
12,Guerrero,50,Pungarabato,50800,Ajonjolí,48,36,498083,10377
12,Guerrero,51,Quechultenango,62200,Ciruela,10,36,172698,17270
12,Guerrero,60,Tetipac,58200,Caña de azucar,2,36,42720,21360
12,Guerrero,8,Atenango del Río,56900,Cacahuate,29,36,570449,20016
12,Guerrero,1,Acapulco de Juárez,70500,Guanábana,6,36,125018,20836
7,Chiapas,110,San Lucas,73900,Limón,7,36,86573,12368
12,Guerrero,32,General Heliodoro Castillo,73900,Limón,10,36,91181,9598
13,Hidalgo,28,Huejutla de Reyes,74200,Litchi,14,36,621460,45197
7,Chiapas,7,Amatenango del Valle,78500,Naranja,6,36,66153,11026
15,México,68,Ozumba,56700,Brócoli,3,36,151255,60502
7,Chiapas,112,San Juan Cancuc,73900,Limón,6,36,117799,19633
5,Coahuila,2,Acuña,79600,Nuez,72,36,2860430,40006
4,Campeche,1,Calkiní,57700,Calabaza semilla o chihua,74,36,1442440,19492
2,Baja California,5,Playas de Rosarito,66100,Elote,8,36,65000,8125
6,Colima,5,Cuauhtémoc,75000,Semilla de maíz grano,6,36,296280,49380
8,Chihuahua,8,Batopilas,56900,Cacahuate,40,36,352800,8820
8,Chihuahua,20,Chínipas,56900,Cacahuate,40,36,353153,8829
10,Durango,4,Cuencamé,57700,Calabaza semilla o chihua,80,36,1008000,12600
11,Guanajuato,24,Pueblo Nuevo,73300,Lechuga,2,36,129600,64800
14,Jalisco,54,El Limón,78500,Naranja,2,36,126000,63000
14,Jalisco,98,San Pedro Tlaquepaque,82100,Pepino,2,36,174600,87300
14,Jalisco,106,Tuxcacuesco,57600,Calabaza,3,36,72000,24000
15,México,71,Polotitlán,82300,Pera,3,36,142200,47400
16,Michoacán,18,Copándaro,66100,Elote,4,36,133200,33300
16,Michoacán,27,Chucándiro,68400,Frijol,72,36,405000,5625
13,Hidalgo,30,Ixmiquilpan,71000,Haba grano,34,36,330476,9865
15,México,92,Teotihuacán,56700,Brócoli,2,36,271575,135788
7,Chiapas,3,Acapetahua,50800,Ajonjolí,66,36,580800,8800
15,México,73,San Antonio La Isla,51700,Alfalfa verde,1,36,21119,21119
7,Chiapas,46,Jiquipilas,89800,Tomate verde,5,37,336168,74704
12,Guerrero,36,Igualapa,88700,Tabaco,30,37,1314361,43812
13,Hidalgo,24,Huasca de Ocampo,59200,Cebada grano,30,37,111630,3721
8,Chihuahua,36,Jiménez,68400,Frijol,36,37,293280,8261
1,Aguascalientes,9,Tepezalá,79600,Nuez,24,37,1689120,70380
17,Morelos,12,Jojutla,73900,Limón,3,37,243624,90231
15,México,4,Almoloya de Alquisiras,75800,Manzana,7,37,128625,18375
17,Morelos,5,Coatlán del Río,71500,Higo,8,37,368571,49143
12,Guerrero,6,Apaxtla,68400,Frijol,40,37,376746,9419
12,Guerrero,33,Huamuxtitlán,73900,Limón,4,37,163280,40820
7,Chiapas,93,Tenejapa,68400,Frijol,97,37,415597,4285
7,Chiapas,1,Acacoyagua,68400,Frijol,45,37,368631,8192
11,Guanajuato,2,Acámbaro,61200,Chile verde,3,37,151290,50430
14,Jalisco,100,Tomatlán,68400,Frijol,45,37,411390,9142
15,México,11,Atenco,61900,Cilantro,4,37,122659,35046
17,Morelos,18,Temixco,89800,Tomate verde,3,37,234767,83845
7,Chiapas,57,Motozintla,82300,Pera,20,37,265290,13265
11,Guanajuato,35,Santa Cruz de Juventino Rosas,61900,Cilantro,10,37,142435,14243
15,México,9,Amecameca,75900,Manzanilla,25,37,347800,13912
16,Michoacán,100,Tzintzuntzan,65300,Durazno,5,37,273600,54720
17,Morelos,25,Tlaquiltenango,87100,Sandía,2,37,121915,60958
4,Campeche,10,Calakmul,83900,Plátano,4,37,148680,42480
4,Campeche,9,Escárcega,82100,Pepino,4,37,178560,44640
13,Hidalgo,50,Progreso de Obregón,71100,Haba verde,5,37,104300,20860
16,Michoacán,109,Zináparo,69000,Garbanzo grano,27,37,310193,11489
17,Morelos,30,Yecapixtla,70600,Guayaba,7,37,210280,32351
13,Hidalgo,5,Ajacuba,90500,Trigo grano,11,37,108460,9860
14,Jalisco,12,Atenguillo,70600,Guayaba,4,37,322590,80647
12,Guerrero,21,Coyuca de Benítez,72200,Jamaica,120,37,945979,7883
15,México,72,Rayón,61900,Cilantro,7,37,134820,19260
12,Guerrero,54,San Miguel Totolapan,68400,Frijol,46,37,511667,11123
13,Hidalgo,19,Chilcuautla,71500,Higo,5,38,307500,61500
13,Hidalgo,76,Tula de Allende,79300,Nube,5,38,161250,32250
15,México,29,Chicoloapan,89700,Tomate rojo (jitomate),0,38,360492,1201641
16,Michoacán,66,Pátzcuaro,89800,Tomate verde,5,38,177450,35490
14,Jalisco,54,El Limón,66100,Elote,3,38,75060,30024
12,Guerrero,6,Apaxtla,57700,Calabaza semilla o chihua,47,38,914560,19459
17,Morelos,23,Tlalnepantla,71500,Higo,8,38,323360,40420
12,Guerrero,2,Ahuacuotzingo,78500,Naranja,3,38,229814,76605
12,Guerrero,36,Igualapa,88800,Tamarindo,8,38,167297,20912
7,Chiapas,87,Suchiate,88100,Sorgo grano,17,38,123787,7282
12,Guerrero,1,Acapulco de Juárez,76000,Maracuyá,5,38,170290,34058
14,Jalisco,82,Sayula,56400,Betabel,2,38,192780,96390
15,México,25,Chalco,61900,Cilantro,4,38,117180,33480
17,Morelos,30,Yecapixtla,61200,Chile verde,6,38,336420,56070
3,Baja California Sur,8,Los Cabos,62200,Ciruela,15,38,291512,19434
3,Baja California Sur,8,Los Cabos,92700,Zanahoria,3,38,231408,71202
12,Guerrero,43,Metlatónoc,65300,Durazno,18,38,284972,15832
14,Jalisco,16,Ayotlán,68400,Frijol,41,38,349600,8632
14,Jalisco,84,Talpa de Allende,88100,Sorgo grano,10,38,117800,11780
15,México,9,Amecameca,79700,Nuez de castilla,10,38,1185600,118560
8,Chihuahua,53,Praxedis G. Guerrero,83300,Pistache,76,38,3425400,45006
12,Guerrero,44,Mochitlán,75600,Mango,5,38,134226,26845
16,Michoacán,99,Tuzantla,75600,Mango,5,38,164718,32944
3,Baja California Sur,2,Mulegé,74900,Maíz grano,12,38,127181,11059
5,Coahuila,16,Lamadrid,89700,Tomate rojo (jitomate),3,38,298818,99606
11,Guanajuato,46,Yuriria,70600,Guayaba,6,38,120852,20142
13,Hidalgo,18,Chapulhuacán,73900,Limón,10,38,213185,21318
14,Jalisco,54,El Limón,75600,Mango,8,38,115315,14414
15,México,26,Chapa de Mota,82300,Pera,3,38,144000,48000
15,México,99,Texcoco,65300,Durazno,6,38,259673,43279
16,Michoacán,112,Zitácuaro,70100,Granada,6,38,434688,72448
15,México,89,Tenango del Aire,71100,Haba verde,7,38,153920,23680
7,Chiapas,94,Teopisca,62200,Ciruela,7,39,329013,47002
10,Durango,14,Mezquital,68400,Frijol,70,39,254100,3630
15,México,116,Zacazonapan,75600,Mango,6,39,261800,47600
16,Michoacán,88,Tarímbaro,66700,Espinaca,7,39,177100,25300
10,Durango,35,Tepehuanes,68400,Frijol,82,39,423940,5170
15,México,117,Zacualpan,57400,Calabacita,3,39,302618,100873
12,Guerrero,29,Chilpancingo de Los Bravo,89800,Tomate verde,4,39,171793,42948
12,Guerrero,10,Atlixtac,68400,Frijol,64,39,531033,8363
7,Chiapas,7,Amatenango del Valle,62200,Ciruela,7,39,313921,44846
15,México,11,Atenco,89800,Tomate verde,2,39,103745,49402
17,Morelos,15,Miacatlán,68400,Frijol,39,39,333588,8665
9,Distrito Federal,11,Tláhuac,82300,Pera,7,39,303424,43346
11,Guanajuato,4,Apaseo El Alto,79200,Nopalitos,5,39,129137,25827
13,Hidalgo,12,Atotonilco El Grande,61200,Chile verde,10,39,275196,26980
15,México,50,Juchitepec,68400,Frijol,34,39,426360,12540
15,México,83,Temamatla,53400,Amaranto,19,39,423465,22890
17,Morelos,11,Jiutepec,73900,Limón,4,39,241103,68887
14,Jalisco,23,Zapotlán el Grande,89300,Tejocote,6,39,174960,29160
14,Jalisco,38,Guachinango,56900,Cacahuate,18,39,474095,26339
16,Michoacán,91,Tingüindín,73800,Lima,6,39,114108,19018
11,Guanajuato,20,León,68400,Frijol,15,39,371200,24747
12,Guerrero,29,Chilpancingo de Los Bravo,65300,Durazno,8,39,203026,25378
10,Durango,28,San Juan del Río,90500,Trigo grano,10,39,142350,14235
13,Hidalgo,29,Huichapan,79200,Nopalitos,1,39,143865,239775
13,Hidalgo,61,Tepeapulco,90500,Trigo grano,26,39,140400,5400
14,Jalisco,30,Chapala,70600,Guayaba,3,39,132600,44200
14,Jalisco,85,Tamazula de Gordiano,68400,Frijol,39,39,721920,18511
14,Jalisco,118,Yahualica de González Gallo,70100,Granada,5,39,306150,61230
15,México,8,Amatepec,61200,Chile verde,8,39,230620,30749
15,México,80,Sultepec,75500,Mandarina,3,39,156000,52000
16,Michoacán,37,Huaniqueo,69000,Garbanzo grano,65,39,331500,5100
16,Michoacán,66,Pátzcuaro,90500,Trigo grano,25,39,141525,5661
7,Chiapas,3,Acapetahua,54100,Arroz palay,23,39,136086,5917
7,Chiapas,26,Chenalhó,73900,Limón,7,39,106596,15228
14,Jalisco,83,Tala,75600,Mango,4,39,197426,49356
